Answer Validity,Test Elapsed Time,Current Level,Angry Expr,Disgust Expr,Fear Expr,Happy Expr,Neutral Expr,Sad Expr,Surprise Expr,Next Level
1,0.146666667,0.17,0.049888095,0.001069048,0.650545238,0.000230952,0.10032619,0.197833333,8.57E-05,0.215862381
0.7,0.131666667,0.33,0.067460526,0.001784211,0.053221053,0.000192105,0.212555263,0.664773684,7.89E-06,0.111971075
1,0.071666667,0.17,0.08359,0.0048,0.382435,0.000215,0.088435,0.440425,8.50E-05,0.360024265
0.9,0.098333333,0.5,0.079567857,0.000682143,0.251171429,0.0008,0.33785,0.329732143,0.000189286,0.337025248
0.6,0.191666667,0.17,0.0838,0,0.197366667,0.317166667,0.320783333,0.0808,0.0001,0.112105522
1,0.103333333,0.17,0.63107931,6.90E-06,0.027627586,0.1276,0.116824138,0.073637931,0.023213793,0.346066511
0.9,0.14,0.33,0.263765625,0.00074375,0.1197875,0.004871875,0.38309375,0.2256625,0.002053125,0.371315955
0.9,0.123333333,0.5,0.084588571,0,0.042714286,0.02184,0.366974286,0.4838,8.00E-05,0.346330188
1,0.076666667,0.17,0.016671429,0.001080952,0.024119048,0.048095238,0.31317619,0.59687619,0,0.247368848
1,0.143333333,0.33,0.010643902,0,0.009470732,0.000746341,0.440973171,0.538153659,0,0.360247294
1,0.103333333,0.5,0.006703448,0.001758621,0.077813793,0.308493103,0.364324138,0.240193103,0.000696552,0.404195958
1,0.071666667,0.5,0.008445,0.000325,0.028145,0.10326,0.336315,0.523505,5.00E-06,0.441688884
1,0.126666667,0.17,0.031297222,0.000641667,0.026075,0.045647222,0.549252778,0.347052778,3.89E-05,0.25
0.9,0.105,0.33,0.044246667,0.003446667,0.020656667,0.0941,0.457523333,0.379886667,0.000123333,0.349783477
0.9,0.06,0.33,0.0283625,0.001325,0.0178875,0.11715625,0.45993125,0.3752125,0.00014375,0.351110192
1,0.056666667,0.5,0.007853333,0.00064,0.011586667,0.599466667,0.290006667,0.090086667,0.000373333,0.64902816
0.3,0.226666667,0.67,0.052748485,0.003301515,0.037351515,0.016290909,0.334684848,0.555462121,0.000178788,0.105013734
0.9,0.098333333,0.17,0.024965517,0.000372414,0.015893103,0.154431034,0.527172414,0.2771,3.45E-05,0.368015667
1,0.076666667,0.5,0.017395455,0.00035,0.025418182,0.059081818,0.671022727,0.226613636,0.0001,0.5
1,0.101666667,0.17,0.093013793,0.010062069,0.021768966,0.114289655,0.3752,0.384465517,0.001213793,0.248722531
0.9,0.083333333,0.33,0.118804348,0.005730435,0.081773913,0.078656522,0.298373913,0.405656522,0.010986957,0.352110795
1,0.071666667,0.5,0.109505,0.036205,0.14234,0.21926,0.099745,0.37182,0.021115,0.449439446
1,0.065,0.5,0.0132,0.000666667,0.092927778,0.689,0.072188889,0.110605556,0.021416667,0.678430417
0.8,0.118333333,0.67,0.098429412,0.010547059,0.072608824,0.335558824,0.238520588,0.243452941,0.000879412,0.408579646
0.8,0.12,0.17,0.03042,0.008643333,0.11136,0.000976667,0.35303,0.495423333,0.000143333,0.102621677
0.7,0.088333333,0.17,0.013113333,0.00088,0.184273333,0.00476,0.079913333,0.717026667,1.33E-05,0.109144685
0.8,0.111666667,0.17,0.02871875,0.003925,0.05470625,0.00258125,0.2564,0.6535625,0.0001,0.111631359
0.9,0.076666667,0.17,0.070390476,0.007333333,0.044971429,0.024885714,0.408838095,0.44267619,0.000885714,0.337885986
1,0.12,0.33,0.0238375,0.001353125,0.03378125,0.001925,0.470734375,0.46835,2.19E-05,0.420232752
0.7,0.105,0.5,0.017110714,0.006771429,0.032767857,0.005517857,0.579328571,0.358446429,6.07E-05,0.223735903
0.9,0.11,0.33,0.03223871,0.00746129,0.061670968,0.0521,0.299119355,0.546635484,0.000748387,0.343570931
0.9,0.126666667,0.17,0.030419444,0.003397222,0.065408333,0.036783333,0.587794444,0.275413889,0.000780556,0.24344935
0.8,0.101666667,0.33,0.026789286,0.006057143,0.061782143,0.056935714,0.359632143,0.488467857,0.000321429,0.131806608
0.9,0.098333333,0.17,0.038203571,0.013175,0.055632143,0.011757143,0.050625,0.8295,0.001082143,0.219986301
0.9,0.093333333,0.33,0.059933333,0.013729167,0.0631875,0.023604167,0.228154167,0.611029167,0.000341667,0.234307301
0.9,0.063333333,0.33,0.028952941,0.016429412,0.141464706,0.001970588,0.199794118,0.611376471,2.94E-05,0.219986301
1,0.068333333,0.33,0.033021053,0.005794737,0.078978947,0.000468421,0.051257895,0.830468421,0,0.373245086
1,0.083333333,0.5,0.041605,0.01666,0.04184,0.0076,0.10102,0.7911,0.000155,0.498005995
1,0.08,0.5,0.018007143,0.0135,0.185914286,0.078235714,0.167757143,0.500707143,0.03585,0.545584811
1,0.116666667,0.17,0.051371429,0.013364286,0.045964286,0.099085714,0.192364286,0.597492857,0.000328571,0.235633544
0.9,0.11,0.33,0.011675,0.00025,0.087075,0.0109,0.4194,0.4706,7.50E-05,0.348482874
0.9,0.091666667,0.33,0.079005556,0.015555556,0.044127778,0.005722222,0.364155556,0.490238889,0.0012,0.351256693
1,0.076666667,0.5,0.072361538,0.020861538,0.104984615,0.004292308,0.336138462,0.461115385,0.000215385,0.497276084
1,0.058333333,0.33,0.04696875,0.051175,0.20131875,0.0164375,0.2454125,0.43728125,0.00139375,0.565854049
0.6,0.146666667,0.67,0.046988095,0.026407143,0.1716,0.0044,0.166021429,0.58295,0.001630952,0.093142111
0.5,0.068333333,0.17,0.002952632,9.47E-05,0.015205263,0.403626316,0.536131579,0.041352632,0.000631579,0.096962766
0.5,0.09,0.17,0.011008,0.000856,0.025792,0.337108,0.552016,0.072752,0.000468,0.209742529
0.6,0.075,0.33,0.012242857,0.003609524,0.046347619,0.212485714,0.464828571,0.260280952,0.000214286,0.241062855
0.4,0.043333333,0.33,0.004036364,0.000572727,0.0695,0.310509091,0.447836364,0.166936364,0.000590909,0.105359508
0.4,0.055,0.17,0.0013,0.0001,0.0003,0.778,0.214,0.0054,0.0008,0.096962766
0.6,0.06,0.17,0.00555,0.00283125,0.00735625,0.61465,0.3269125,0.03854375,0.00415,0.235729189
0.7,0.08,0.17,0.026522727,0.0001,0.020322727,0.000259091,0.649718182,0.303063636,9.09E-06,0.11200753
0.8,0.088333333,0.17,0.034132,0.000788,0.022968,0.00054,0.432044,0.509516,0,0.094622983
0.9,0.101666667,0.17,0.023386207,0.003413793,0.024306897,0.001103448,0.480993103,0.466762069,2.76E-05,0.327908024
0.9,0.103333333,0.33,0.047010345,0.000144828,0.01662069,0.005158621,0.688189655,0.242765517,0.000103448,0.373455352
0.9,0.116666667,0.5,0.014274194,6.77E-05,0.025403226,0.086845161,0.719358065,0.153709677,0.000335484,0.367140876
1,0.106666667,0.5,0.021489286,0.001071429,0.030271429,0.003246429,0.715935714,0.222721429,0.005239286,0.5
1,0.093333333,0.5,0.029826923,0.000115385,0.010761538,0.001992308,0.608415385,0.348846154,7.69E-06,0.5
1,0.058333333,0.5,0.02851875,0.00010625,0.0134875,0.00684375,0.5171875,0.43384375,0,0.5
0.9,0.06,0.5,0.00625,0.0002375,0.00364375,0.32495625,0.614375,0.050025,0.00049375,0.451957829
1,0.095,0.17,0.006459259,0.001585185,0.027137037,0.125437037,0.598007407,0.241311111,5.19E-05,0.247577972
0.9,0.073333333,0.33,0.00658,0.00314,0.030455,0.327,0.44349,0.189155,0.00019,0.359752419
0.9,0.048333333,0.5,0.002084615,0.000323077,0.032192308,0.306053846,0.508130769,0.151130769,9.23E-05,0.434088037
1,0.05,0.5,0.012069231,0.001123077,0.030276923,0.1374,0.4155,0.403576923,7.69E-05,0.474075302
0.9,0.038333333,0.5,0.04508,0.05068,0.15271,0.02564,0.1018,0.62387,0.00019,0.36417477
0.7,0.17,0.17,0.076404082,0.000553061,0.091989796,0.000959184,0.322987755,0.506991837,9.18E-05,0.103476438
0.9,0.098333333,0.17,0.08005,0.000539286,0.09495,0.000810714,0.047303571,0.776325,1.79E-05,0.219986301
0.5,0.113333333,0.33,0.028452381,4.76E-05,0.185795238,0.088409524,0.042652381,0.654547619,7.62E-05,0.109484634
0.9,0.083333333,0.17,0.027481818,0.000127273,0.462304545,0.037172727,0.012881818,0.459790909,0.000236364,0.246541484
0.8,0.11,0.33,0.02843871,0.000145161,0.057696774,0.611129032,0.019106452,0.283129032,0.000325806,0.117780865
0.9,0.103333333,0.17,0.075220833,0.0006375,0.1442875,0.041758333,0.044979167,0.6929875,0.000141667,0.224361595
